City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Coquimbo,CL,2022-10-02 13:00:52,-29.9533,-71.3436,58.37000000000006,78,6,1.49
244,Aqtobe,KZ,2022-10-02 13:00:52,50.2797,57.2072,59.09000000000002,20,0,6.0
245,Kutiyana,IN,2022-10-02 13:00:53,21.6233,69.9817,81.51800000000009,69,0,4.31
246,Katsuura,JP,2022-10-02 13:00:53,35.1333,140.3,72.68000000000004,70,68,3.58
247,Gizycko,PL,2022-10-02 13:00:19,54.0381,21.7644,53.366000000000014,76,100,6.04
248,Road Town,VG,2022-10-02 12:57:58,18.4167,-64.6167,86.03600000000007,79,20,3.09
249,Ascension,US,2022-10-02 13:00:54,30.2169,-90.9001,60.08000000000004,88,0,0.0
250,Luwuk,ID,2022-10-02 13:00:55,-0.9516,122.7875,78.60200000000009,87,100,0.61
251,Iqaluit,CA,2022-10-02 13:00:55,63.7506,-68.5145,29.930000000000042,74,75,8.23
252,Manta,EC,2022-10-02 13:00:56,-0.95,-80.7333,71.924,78,71,2.96
253,Boa Vista,BR,2022-10-02 13:00:48,2.8197,-60.6733,84.7760000000001,62,45,1.42
254,Vrangel,RU,2022-10-02 13:00:57,42.7297,133.0839,59.19800000000002,85,100,5.66
255,Seydi,TM,2022-10-02 13:00:57,39.4816,62.9137,66.81200000000007,11,0,5.15
256,Qaqortoq,GL,2022-10-02 13:00:58,60.7167,-46.0333,37.4,69,38,0.48
257,Povoa De Lanhoso,PT,2022-10-02 13:00:58,41.5787,-8.282,81.77000000000007,43,74,0.65
258,Diamantina,BR,2022-10-02 13:00:59,-18.2494,-43.6003,77.36000000000008,46,9,2.46
259,Pushkino,RU,2022-10-02 13:00:59,56.0172,37.8667,55.09400000000008,72,100,1.53
260,Coahuayana,MX,2022-10-02 13:01:00,18.7333,-103.6833,74.858,92,100,2.0
261,Maldonado,UY,2022-10-02 13:01:00,-34.6667,-54.9167,63.23000000000005,50,0,1.92
262,Nome,US,2022-10-02 13:01:01,64.5011,-165.4064,33.044000000000075,67,0,2.68
263,Barra Velha,BR,2022-10-02 12:57:56,-26.6322,-48.6847,67.91000000000008,71,73,1.57
264,San Juan,AR,2022-10-02 13:00:51,-31.5375,-68.5364,73.83200000000002,30,0,4.63
265,La Rioja,ES,2022-10-02 13:02:02,42.25,-2.5,67.78399999999999,32,64,3.96
266,Oussouye,SN,2022-10-02 13:02:02,12.485,-16.5469,85.85600000000002,68,70,0.76
267,Valleyview,CA,2022-10-02 13:00:11,55.0667,-117.2859,53.690000000000026,63,0,2.26
268,Saint-Augustin,CA,2022-10-02 13:02:03,51.226,-58.6502,42.530000000000044,57,17,6.86
269,Rio Grande,BR,2022-10-02 13:02:03,-32.035,-52.0986,62.65400000000005,78,19,3.65
